rank,date,prediction_date,code,name,price,change_pct,score,context_source,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
23,2026-09-22,2026-09-23,001268,联合精密,26.57,10.02070393374741,0.09602081687383678,previous_trading_day_state,10.02070393374741,11.078595317725748,10.386373078520972,3.586744639376227,19.04121863799284,0.7025022508466923,1,1,0,0.0,11.078595317725748,4,2.986969615052569,8.543470079036505,36,23,59,73.0,21.0,0.2191780821917808,1.1594202898550732,0,0,1,8.759721653704467,0.05726872246695992,0.5349794238683092,0.05726872246695992,1.8165054373099159,1.7972228251314015,0,1
24,2026-09-22,2026-09-23,001260,坤泰股份,20.28,9.97830802603037,0.09462423923460407,previous_trading_day_state,9.97830802603037,12.980501392757681,15.621436716077541,7.700477960701035,12.35457063711911,1.0848904414292337,1,1,0,0.0,15.621436716077541,5,3.5481858731144866,9.566074950690341,36,23,59,73.0,21.0,0.2191780821917808,0.6507592190889255,0,0,1,9.267241379310365,0.11340206185566944,1.1995637949836269,0.11340206185566944,3.232402193002661,2.856644327284662,0,1
25,2026-09-22,2026-09-23,605398,新炬网络,23.63,10.009310986964604,0.09449514765255292,previous_trading_day_state,10.009310986964604,16.289370078740163,11.778618732261116,-6.895193065405836,16.346627277203353,0.9851295952790111,1,0,0,-15.576991782779558,16.980198019801975,4,5.498890955717611,9.098603470165038,36,23,59,73.0,21.0,0.2191780821917808,0.09310986964619072,0,0,1,9.906976744186036,0.009302325581395156,0.09310986964619072,0.009302325581395156,2.0545549676108092,1.5427503491326908,0,1
26,2026-09-22,2026-09-23,600479,千金药业,13.57,9.967585089141018,0.0910778945423946,previous_trading_day_state,9.967585089141018,18.205574912891986,19.03508771929825,-8.372721134368666,35.42914171656688,0.7073647768907557,1,0,0,-8.372721134368666,23.13974591651544,4,6.897776798361364,11.127487103905672,36,23,59,73.0,21.0,0.2191780821917808,-1.7017828200972418,0,0,1,11.871393239901074,0.04635761589403993,0.5804311774461057,0.04635761589403993,1.393817332146886,1.141433113037791,0,1
27,2026-09-22,2026-09-23,600418,江淮汽车,21.32,10.010319917440658,0.08972117243049423,previous_trading_day_state,10.010319917440658,10.010319917440658,10.695742471443403,3.7469586374695885,0.47125353440151674,1.2976873599950198,1,1,0,0.0,13.404255319148927,3,3.235323529475722,9.709193245778614,36,23,59,73.0,21.0,0.2191780821917808,0.0,0,0,1,10.010319917440658,0.06280193236714927,0.6753246753246733,0.06280193236714927,2.7690257253603296,2.2493833408966233,0,1
28,2026-09-22,2026-09-23,603903,中持股份,15.27,10.014409221902,0.08891420628426912,previous_trading_day_state,10.014409221902,8.60597439544808,10.093727469358328,5.674740484429064,7.610993657505283,1.0063277219186,1,0,1,0.0,12.362030905077258,3,3.195171278488571,10.216110019646358,36,23,59,73.0,21.0,0.2191780821917808,-0.07204610951009327,0,0,1,10.093727469358328,0.1025641025641016,1.1670313639678964,0.1025641025641016,2.4615612988359294,2.5504916424941735,0,1
29,2026-09-22,2026-09-23,002238,天威视讯,6.96,9.952606635071092,0.0864820764173997,previous_trading_day_state,9.952606635071092,10.828025477707005,11.717495987158898,1.9033674963396807,5.4545454545454675,0.9877086839393804,1,0,0,0.0,11.717495987158898,4,3.104944562664137,9.482758620689658,36,23,59,73.0,21.0,0.2191780821917808,0.3159557661927215,0,0,1,9.606299212598435,0.07575757575757547,0.7936507936507908,0.07575757575757547,2.9681529154046813,1.5887119671238368,0,1
30,2026-09-22,2026-09-23,001266,宏英智能,37.75,9.994172494172492,0.08604253644019423,previous_trading_day_state,9.994172494172492,12.585744109752461,18.822788794460177,14.220877458396375,9.293572669368855,1.3460836050075242,1,1,0,0.0,18.822788794460177,5,4.371221337739546,8.052980132450328,36,23,59,73.0,21.0,0.2191780821917808,1.1363636363636465,0,0,1,8.75828291558629,0.0,0.0,0.0,2.32332055376141,3.7410867999707462,0,1
31,2026-09-22,2026-09-23,603216,梦天家居,22.75,10.009671179883938,0.08479925119475966,previous_trading_day_state,10.009671179883938,13.749999999999996,3.5031847133757843,4.549632352941169,8.747609942638611,0.7511308536988476,1,0,0,-5.601659751037347,13.749999999999996,3,5.685270375208407,8.703296703296704,36,23,59,73.0,21.0,0.2191780821917808,1.015473887814311,0,0,1,8.903781713738624,0.06060606060606109,0.5777563793933682,0.06060606060606109,1.4104555495515312,1.0003851447445287,0,1
32,2026-09-22,2026-09-23,603039,XD泛微网络,39.7,10.002770850651155,0.08402443508855546,previous_trading_day_state,10.002770850651155,11.768018018018012,9.820193637621033,4.473684210526319,-0.9975062344139585,0.8896179828008378,1,1,0,-5.453679447487492,11.768018018018012,3,2.9519261276115714,8.18639798488665,36,23,59,73.0,21.0,0.2191780821917808,1.9673039623164135,0,0,1,7.880434782608714,0.10769230769230595,0.9602194787379892,0.10769230769230595,2.0487033367431784,2.395176863772681,0,1
33,2026-09-22,2026-09-23,603598,引力传媒,18.96,9.976798143851529,0.08080101093762072,previous_trading_day_state,9.976798143851529,10.296684118673639,12.589073634204272,0.37056643726840477,12.322274881516604,0.7804321210864827,1,0,0,0.0,13.126491646778039,3,3.2209462628407888,8.069620253164562,36,23,59,73.0,21.0,0.2191780821917808,1.5081206496519783,0,0,1,8.342857142857142,0.045751633986928254,0.40160642570281624,0.045751633986928254,2.122790162826208,1.844222602214161,0,1
34,2026-09-22,2026-09-23,000595,新能股份,5.85,9.962406015037573,0.07614193495978024,previous_trading_day_state,9.962406015037573,11.641221374045795,8.736059479553893,6.946983546617913,1.2110726643598468,0.8742746659739495,1,0,0,-1.6806722689075682,11.641221374045795,4,2.85955879197627,9.401709401709399,36,23,59,73.0,21.0,0.2191780821917808,0.3759398496240518,0,0,1,9.550561797752799,0.07272727272727282,0.7547169811320753,0.07272727272727282,2.2746042608839767,1.9682253928393303,0,1
35,2026-09-22,2026-09-23,001322,箭牌家居,6.95,9.968354430379755,0.06695018679630341,previous_trading_day_state,9.968354430379755,13.376835236541606,13.008130081300816,5.143721633888054,10.845295055821392,1.2956881510213656,1,0,0,0.0,13.934426229508201,4,3.560097220708943,9.496402877697843,36,23,59,73.0,21.0,0.2191780821917808,0.0,0,0,1,9.968354430379755,0.045454545454545824,0.4769475357710773,0.045454545454545824,3.0236184391637813,3.836097227439261,0,1
36,2026-09-22,2026-09-23,002467,二六三,5.09,9.935205183585305,0.06294405098563571,previous_trading_day_state,9.935205183585305,11.622807017543856,10.412147505422986,5.3830227743271175,12.362030905077258,1.2205496481030784,1,0,0,0.0,11.86813186813187,2,2.9548682225396186,8.840864440078589,36,23,59,73.0,21.0,0.2191780821917808,0.4319654427645814,0,0,1,9.462365591397838,0.022222222222223715,0.21551724137931494,0.022222222222223715,3.2515518821047107,3.063788701289486,0,1
