rank,date,prediction_date,code,name,price,change_pct,score,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
21,2026-09-18,2026-09-21,002589,瑞康医药,3.27,10.101,0.12795264906282114,10.1010101010101,11.22448979591837,7.21311475409836,1.552795031055898,2.8301886792452713,0.7226417640726666,1,0,0,-6.571428571428573,11.22448979591837,4,4.327946470342606,8.562691131498465,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.3468013468013407,0,0,1,8.637873754152835,0.07142857142856995,0.6688963210702115,0.07142857142856995,1.7799977942078546,1.0581730143488304,0,1
22,2026-09-18,2026-09-21,002971,和远气体,42.68,10.0,0.12613200254135637,10.000000000000009,10.398344542162441,13.934863854778424,10.426908150064683,-8.431667024243728,0.8403291573454933,1,1,0,-9.345794392523366,13.934863854778424,4,3.384561198794886,9.208059981255857,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.6494845360824684,0,0,1,8.215010141987843,0.1755725190839689,1.7806451612903063,0.1755725190839689,1.6129923256872096,1.4251916188643154,0,1
23,2026-09-18,2026-09-21,001399,惠科股份,23.17,10.019,0.12374499036845069,10.0189933523267,9.8624940730204,19.18724279835391,7.169287696577253,0.3899480069324168,1.54506059371983,1,1,0,-0.9405728943993164,19.18724279835391,4,4.116517687720524,8.372895986189043,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.8072174738841476,0,0,1,9.138012246820537,0.0,0.0,0.0,2.560291920127034,2.6179562086087524,0,1
24,2026-09-18,2026-09-21,002623,亚玛顿,18.52,9.976,0.12287121804979499,9.976247030878849,14.462299134734247,15.031055900621105,19.638242894056845,20.416124837451232,2.0730807386664565,1,1,1,0.0,19.638242894056845,4,3.863752203685226,8.855291576673869,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.23752969121140222,0,0,1,9.715639810426534,0.0,0.0,0.0,2.4826370313190957,3.5590232325531286,0,1
25,2026-09-18,2026-09-21,002300,太阳电缆,8.67,10.025,0.1221430310254604,10.025380710659903,13.779527559055115,6.25,7.9701120797011304,29.01785714285714,1.1300593389790732,1,0,1,0.0,30.9667673716012,2,3.175126761733931,9.919261822376013,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.2538071065989911,0,0,1,9.74683544303796,0.1046511627906985,1.1523687580025754,0.1046511627906985,1.9800553354392016,1.4625241099276207,0,1
26,2026-09-18,2026-09-21,601133,柏诚系统股份公司,26.0,9.983,0.12206025941896718,9.983079526226724,12.554112554112539,13.885238720981175,11.683848797250862,2.564102564102555,0.82519500472749,1,1,0,-4.094430099594248,13.885238720981175,4,3.294492894506325,8.076923076923084,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,2.6649746192893398,0,0,1,7.128141738772142,0.17619047619047654,1.5481171548117123,0.17619047619047654,1.923945722822519,1.635456375140675,0,1
27,2026-09-18,2026-09-21,603118,共进股份,18.43,10.03,0.1215593206259109,10.029850746268654,13.485221674876847,15.548589341692786,13.34563345633455,3.597526700393483,0.8234258227647971,1,0,0,-0.9139784946236684,15.548589341692786,3,4.442102140201515,8.95279435702658,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.9701492537313348,0,0,1,7.903981264637006,0.18181818181818024,1.7878426698450411,0.18181818181818024,1.616222480446306,0.9694362428816039,0,1
28,2026-09-18,2026-09-21,001211,双枪科技,25.88,9.987,0.11948418568989036,9.987250318742014,15.897895208240032,12.963771278917502,11.792656587472994,6.414473684210531,1.2967031093756507,1,0,1,0.0,15.897895208240032,3,3.785367078018751,9.080370942812975,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.2974925626859415,0,0,1,9.661016949152534,0.02978723404255334,0.2974925626859415,0.02978723404255334,2.07552007541153,1.385896311341025,0,1
29,2026-09-18,2026-09-21,002185,华天科技,18.03,10.006,0.11856725811346057,10.006101281269064,10.207823960880201,11.296296296296315,15.79961464354529,3.5017221584385805,1.238348257554138,1,1,0,0.0,15.79961464354529,3,3.2260325958282556,7.875762617859132,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,2.318486882245274,0,0,1,7.513416815742402,0.11267605633802813,0.9632751354605729,0.11267605633802813,2.160810963713629,1.927509187846758,0,1
30,2026-09-18,2026-09-21,000532,华金资本,12.96,10.017,0.11672017323049272,10.016977928692716,11.82053494391717,6.754530477759468,12.305025996533804,18.032786885245898,1.998172207199022,1,1,1,0.0,16.546762589928065,2,3.962782977817367,8.719135802469141,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.5093378607809784,0,0,1,9.459459459459474,0.0088495575221237,0.08453085376161074,0.0088495575221237,2.4174720814708883,3.2102396949603005,0,1
31,2026-09-18,2026-09-21,603725,天安新材,11.75,10.019,0.11446284153079106,10.018726591760307,16.33663366336635,16.33663366336635,11.480075901328291,-1.260504201680679,0.8099369782211299,1,1,0,-6.299840510366817,16.33663366336635,4,3.9518056339122913,8.680851063829783,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.0299625468164653,0,0,1,8.897126969416135,0.05882352941176348,0.5591798695246952,0.05882352941176348,1.6971152270356011,1.746284301224312,0,1
32,2026-09-18,2026-09-21,001332,锡装股份,28.9,10.011,0.11262155218989545,10.01141987057479,10.983102918586795,13.779527559055115,5.899596921949435,-5.955092743247647,0.9876765861552487,1,1,0,-4.494382022471921,13.779527559055115,5,3.1948960895428606,8.927335640138404,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.19033117624667195,0,0,1,9.802431610942254,0.0,0.0,0.0,2.783927465639844,2.3774961040466946,0,1
33,2026-09-18,2026-09-21,000910,大亚圣象,5.69,10.058,0.1116961908470992,10.058027079303677,11.568627450980419,9.213051823416517,5.56586270871986,6.954887218045114,1.2102205908185286,1,0,0,0.0,11.568627450980419,4,3.0993805993423345,8.611599297012305,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.7736943907156624,0,0,1,9.213051823416517,0.02040816326530568,0.19230769230769162,0.02040816326530568,3.229105409269058,2.3129320026592715,0,1
